Actual date,PE
30/10/2019,20.2057
31/10/2019,20.1494
01/11/2019,20.3391
04/11/2019,20.4229
05/11/2019,20.3987
06/11/2019,20.4128
07/11/2019,20.4686
08/11/2019,20.521
11/11/2019,20.4807
12/11/2019,20.5128
13/11/2019,20.528
14/11/2019,20.5448
15/11/2019,20.7035
18/11/2019,20.7168
19/11/2019,20.7041
20/11/2019,20.6267
21/11/2019,20.6473
22/11/2019,20.6919
25/11/2019,20.8438
26/11/2019,20.8897
27/11/2019,20.9768
29/11/2019,20.9357
02/12/2019,20.7535
03/12/2019,20.6159
04/12/2019,20.7463
05/12/2019,20.7853
06/12/2019,20.975
09/12/2019,20.9108
10/12/2019,20.8878
11/12/2019,20.9484
12/12/2019,21.1277
13/12/2019,21.1295
16/12/2019,21.2801
17/12/2019,21.2877
18/12/2019,21.2778
19/12/2019,21.3728
20/12/2019,21.4783
23/12/2019,21.5453
24/12/2019,21.541
26/12/2019,21.6514
27/12/2019,21.6483
30/12/2019,21.468
31/12/2019,21.3664
02/01/2020,21.5454
03/01/2020,21.3773
06/01/2020,21.4531
07/01/2020,21.3929
08/01/2020,21.4978
09/01/2020,21.6409
10/01/2020,21.5791
13/01/2020,21.7296
14/01/2020,21.6967
15/01/2020,21.7373
16/01/2020,21.9192
17/01/2020,22.0038
21/01/2020,21.9459
22/01/2020,21.9523
23/01/2020,21.9773
24/01/2020,21.7749
27/01/2020,21.4178
28/01/2020,21.6381
29/01/2020,21.6193
30/01/2020,21.6871
31/01/2020,21.3045
03/02/2020,21.4564
04/02/2020,21.7836
05/02/2020,22.0287
06/02/2020,22.102
07/02/2020,21.9826
10/02/2020,22.1437
11/02/2020,22.181
12/02/2020,22.3244
13/02/2020,22.288
14/02/2020,22.3291
18/02/2020,22.2659
19/02/2020,22.3707
